"Protein names","unique_genes","unique_organisms","Measure","Value"
"1-aminocyclopropane-1-carboxylate synthase 8 (ACC synthase 8) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase 8)","ACS8 At4g37770 T28I19.50","Arabidopsis thaliana (Mouse-ear cress)","mean_length",469
"1-aminocyclopropane-1-carboxylate synthase 8 (ACC synthase 8) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase 8)","ACS8 At4g37770 T28I19.50","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",53371
"1-aminocyclopropane-1-carboxylate synthase-like protein 1 (ACC synthase-like protein 1)","ACCS PHACS","Homo sapiens (Human)","mean_length",501
"1-aminocyclopropane-1-carboxylate synthase-like protein 1 (ACC synthase-like protein 1)","ACCS PHACS","Homo sapiens (Human)","mean_mass",57324
"1-deoxy-D-xylulose-5-phosphate synthase, chloroplastic (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS) (EC 2.2.1.7) (Protein CLOROPLASTOS ALTERADOS 1)","DXS CLA1 DEF At4g15560 dl3821w","Arabidopsis thaliana (Mouse-ear cress)","mean_length",717
"1-deoxy-D-xylulose-5-phosphate synthase, chloroplastic (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS) (EC 2.2.1.7) (Protein CLOROPLASTOS ALTERADOS 1)","DXS CLA1 DEF At4g15560 dl3821w","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",76833
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 (EC 3.1.4.11) (Phosphoinositide phospholipase C-beta-3) (Phospholipase C-beta-3) (PLC-beta-3)","PLCB3","Homo sapiens (Human)","mean_length",1234
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 (EC 3.1.4.11) (Phosphoinositide phospholipase C-beta-3) (Phospholipase C-beta-3) (PLC-beta-3)","PLCB3","Homo sapiens (Human)","mean_mass",138799
"116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain-containing protein 2) (SNU114 homolog) (hSNU114) (U5 snRNP-specific protein, 116 kDa) (U5-116 kDa)","EFTUD2 KIAA0031 SNRP116","Homo sapiens (Human)","mean_length",972
"116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain-containing protein 2) (SNU114 homolog) (hSNU114) (U5 snRNP-specific protein, 116 kDa) (U5-116 kDa)","EFTUD2 KIAA0031 SNRP116","Homo sapiens (Human)","mean_mass",109436
"12-oxophytodienoate reductase 1 (EC 1.3.1.42) (12-oxophytodienoate-10,11-reductase 1) (AtOPR1) (OPDA-reductase 1) (FS-AT-I)","OPR1 At1g76680 F28O16.5","Arabidopsis thaliana (Mouse-ear cress)","mean_length",372
"12-oxophytodienoate reductase 1 (EC 1.3.1.42) (12-oxophytodienoate-10,11-reductase 1) (AtOPR1) (OPDA-reductase 1) (FS-AT-I)","OPR1 At1g76680 F28O16.5","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",41168
"12-oxophytodienoate reductase 3 (EC 1.3.1.42) (12-oxophytodienoate-10,11-reductase 3) (OPDA-reductase 3) (LeOPR3)","OPR3","Solanum lycopersicum (Tomato) (Lycopersicon esculentum)","mean_length",396
"12-oxophytodienoate reductase 3 (EC 1.3.1.42) (12-oxophytodienoate-10,11-reductase 3) (OPDA-reductase 3) (LeOPR3)","OPR3","Solanum lycopersicum (Tomato) (Lycopersicon esculentum)","mean_mass",43520
"14 kDa phosphohistidine phosphatase (EC 3.9.1.3) (Phosphohistidine phosphatase 1) (PHPT1) (Protein histidine phosphatase) (PHP) (Protein janus-A homolog)","PHPT1 PHP14 CGI-202 HSPC141","Homo sapiens (Human)","mean_length",125
"14 kDa phosphohistidine phosphatase (EC 3.9.1.3) (Phosphohistidine phosphatase 1) (PHPT1) (Protein histidine phosphatase) (PHP) (Protein janus-A homolog)","PHPT1 PHP14 CGI-202 HSPC141","Homo sapiens (Human)","mean_mass",13833
"14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)","YWHAZ","Homo sapiens (Human)","mean_length",245
"14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)","YWHAZ","Homo sapiens (Human)","mean_mass",27745
"14-3-3-like protein G-BOX factor 14 lambda (14-3-3-like protein GF14 lambda) (14-3-3lambda) (14-3-3-like protein AFT1) (14-3-3-like protein RCI2) (General regulatory factor 6)","GRF6 AFT1 RCI2 At5g10450 F12B17_200","Arabidopsis thaliana (Mouse-ear cress)","mean_length",248
"14-3-3-like protein G-BOX factor 14 lambda (14-3-3-like protein GF14 lambda) (14-3-3lambda) (14-3-3-like protein AFT1) (14-3-3-like protein RCI2) (General regulatory factor 6)","GRF6 AFT1 RCI2 At5g10450 F12B17_200","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",27976
"14-3-3-like protein GF14 epsilon (General regulatory factor 10)","GRF10 At1g22300 T16E15.8","Arabidopsis thaliana (Mouse-ear cress)","mean_length",254
"14-3-3-like protein GF14 epsilon (General regulatory factor 10)","GRF10 At1g22300 T16E15.8","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",28915
"14-3-3-like protein GF14 phi (General regulatory factor 4)","GRF4 At1g35160 T32G9.30","Arabidopsis thaliana (Mouse-ear cress)","mean_length",267
"14-3-3-like protein GF14 phi (General regulatory factor 4)","GRF4 At1g35160 T32G9.30","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",30194
"14-3-3-like protein GF14-C (G-box factor 14-3-3 homolog C)","GF14C Os08g0430500 LOC_Os08g33370 OJ1124_B05.7","Oryza sativa subsp. japonica (Rice)","mean_length",256
"14-3-3-like protein GF14-C (G-box factor 14-3-3 homolog C)","GF14C Os08g0430500 LOC_Os08g33370 OJ1124_B05.7","Oryza sativa subsp. japonica (Rice)","mean_mass",28827
"17S U2 SnRNP complex component HTATSF1 (HIV Tat-specific factor 1) (Tat-SF1)","HTATSF1","Homo sapiens (Human)","mean_length",755
"17S U2 SnRNP complex component HTATSF1 (HIV Tat-specific factor 1) (Tat-SF1)","HTATSF1","Homo sapiens (Human)","mean_mass",85853
"187-kDa microtubule-associated protein AIR9 (Auxin-induced in root cultures protein 9)","AIR9 At2g34680 T29F13","Arabidopsis thaliana (Mouse-ear cress)","mean_length",1708
"187-kDa microtubule-associated protein AIR9 (Auxin-induced in root cultures protein 9)","AIR9 At2g34680 T29F13","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",186862
"2-Cys peroxiredoxin BAS1, chloroplastic (EC 1.11.1.24) (Thiol-specific antioxidant protein) (Thioredoxin-dependent peroxiredoxin BAS1)","BAS1 Os02g0537700 LOC_Os02g33450 OsJ_07037 OSJNBa0014M17.2 P0508B05.23","Oryza sativa subsp. japonica (Rice)","mean_length",261
"2-Cys peroxiredoxin BAS1, chloroplastic (EC 1.11.1.24) (Thiol-specific antioxidant protein) (Thioredoxin-dependent peroxiredoxin BAS1)","BAS1 Os02g0537700 LOC_Os02g33450 OsJ_07037 OSJNBa0014M17.2 P0508B05.23","Oryza sativa subsp. japonica (Rice)","mean_mass",28097
"2-oxoglutarate and iron-dependent oxygenase domain-containing protein CP2 (EC 1.14.11.-) (Protein CUPULIFORMIS 2)","CP2 At3g18210 MRC8.20","Arabidopsis thaliana (Mouse-ear cress)","mean_length",394
"2-oxoglutarate and iron-dependent oxygenase domain-containing protein CP2 (EC 1.14.11.-) (Protein CUPULIFORMIS 2)","CP2 At3g18210 MRC8.20","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",45179
"23.5 kDa heat shock protein, mitochondrial (AtHsp23.5)","HSP23.5 At5g51440 MFG13.15","Arabidopsis thaliana (Mouse-ear cress)","mean_length",210
"23.5 kDa heat shock protein, mitochondrial (AtHsp23.5)","HSP23.5 At5g51440 MFG13.15","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",23468
"26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112)","PSMD1","Homo sapiens (Human)","mean_length",953
"26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112)","PSMD1","Homo sapiens (Human)","mean_mass",105836
"26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5)","PSMD11","Homo sapiens (Human)","mean_length",422
"26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5)","PSMD11","Homo sapiens (Human)","mean_mass",47464
"26S proteasome non-ATPase regulatory subunit 4 homolog (26S proteasome regulatory subunit RPN10) (AtRPN10) (26S proteasome regulatory subunit S5A homolog) (Multiubiquitin chain-binding protein 1) (AtMCB1)","RPN10 MBP1 MCB1 At4g38630 F20M13.190 T9A14.7","Arabidopsis thaliana (Mouse-ear cress)","mean_length",386
"26S proteasome non-ATPase regulatory subunit 4 homolog (26S proteasome regulatory subunit RPN10) (AtRPN10) (26S proteasome regulatory subunit S5A homolog) (Multiubiquitin chain-binding protein 1) (AtMCB1)","RPN10 MBP1 MCB1 At4g38630 F20M13.190 T9A14.7","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",40757
"26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B)","PSMD5 KIAA0072","Homo sapiens (Human)","mean_length",504
"26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B)","PSMD5 KIAA0072","Homo sapiens (Human)","mean_mass",56196
"26S proteasome non-ATPase regulatory subunit 6 (26S proteasome regulatory subunit RPN7) (26S proteasome regulatory subunit S10) (Breast cancer-associated protein SGA-113M) (Phosphonoformate immuno-associated protein 4) (Proteasome regulatory particle subunit p44S10) (p42A)","PSMD6 KIAA0107 PFAAP4","Homo sapiens (Human)","mean_length",389
"26S proteasome non-ATPase regulatory subunit 6 (26S proteasome regulatory subunit RPN7) (26S proteasome regulatory subunit S10) (Breast cancer-associated protein SGA-113M) (Phosphonoformate immuno-associated protein 4) (Proteasome regulatory particle subunit p44S10) (p42A)","PSMD6 KIAA0107 PFAAP4","Homo sapiens (Human)","mean_mass",45531
"26S proteasome non-ATPase regulatory subunit 8 homolog A (26S proteasome regulatory subunit RPN12a) (AtRPN12a) (26S proteasome regulatory subunit S14 homolog A)","RPN12A At1g64520 F1N19.9","Arabidopsis thaliana (Mouse-ear cress)","mean_length",267
"26S proteasome non-ATPase regulatory subunit 8 homolog A (26S proteasome regulatory subunit RPN12a) (AtRPN12a) (26S proteasome regulatory subunit S14 homolog A)","RPN12A At1g64520 F1N19.9","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",30706
"26S proteasome regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1)","PSMC1","Homo sapiens (Human)","mean_length",440
"26S proteasome regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1)","PSMC1","Homo sapiens (Human)","mean_mass",49185
"26S proteasome regulatory subunit 6B (26S proteasome AAA-ATPase subunit RPT3) (MB67-interacting protein) (MIP224) (Proteasome 26S subunit ATPase 4) (Tat-binding protein 7) (TBP-7)","PSMC4 MIP224 TBP7","Homo sapiens (Human)","mean_length",418
"26S proteasome regulatory subunit 6B (26S proteasome AAA-ATPase subunit RPT3) (MB67-interacting protein) (MIP224) (Proteasome 26S subunit ATPase 4) (Tat-binding protein 7) (TBP-7)","PSMC4 MIP224 TBP7","Homo sapiens (Human)","mean_mass",47366
"26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG)","PSMC5 SUG1","Homo sapiens (Human)","mean_length",406
"26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG)","PSMC5 SUG1","Homo sapiens (Human)","mean_mass",45626
"2S seed storage protein 3 (2S albumin storage protein) (NWMU2-2S albumin 3) [Cleaved into: 2S seed storage protein 3 small subunit; 2S seed storage protein 3 large subunit]","AT2S3 At4g27160 T24A18.110","Arabidopsis thaliana (Mouse-ear cress)","mean_length",164
"2S seed storage protein 3 (2S albumin storage protein) (NWMU2-2S albumin 3) [Cleaved into: 2S seed storage protein 3 small subunit; 2S seed storage protein 3 large subunit]","AT2S3 At4g27160 T24A18.110","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",18762
"3'-5' exonuclease (EC 3.1.-.-) (Werner Syndrome-like exonuclease)","WEX WRNEXO At4g13870 F18A5.260","Arabidopsis thaliana (Mouse-ear cress)","mean_length",288
"3'-5' exonuclease (EC 3.1.-.-) (Werner Syndrome-like exonuclease)","WEX WRNEXO At4g13870 F18A5.260","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",32090
"3-deoxy-manno-octulosonate cytidylyltransferase, mitochondrial (EC 2.7.7.38) (CMP-2-keto-3-deoxyoctulosonic acid synthase) (AtCKS) (CMP-KDO synthase)","KDSB CKS KDO1 At1g53000 F14G24.28","Arabidopsis thaliana (Mouse-ear cress)","mean_length",290
"3-deoxy-manno-octulosonate cytidylyltransferase, mitochondrial (EC 2.7.7.38) (CMP-2-keto-3-deoxyoctulosonic acid synthase) (AtCKS) (CMP-KDO synthase)","KDSB CKS KDO1 At1g53000 F14G24.28","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",32245
"3-ketoacyl-CoA thiolase 2, peroxisomal (EC 2.3.1.16) (Acetyl-CoA acyltransferase 2) (Beta-ketothiolase 2) (Peroxisomal 3-oxoacyl-CoA thiolase 2) (Peroxisome defective protein 1)","PED1 KAT2 At2g33150 F25I18.11","Arabidopsis thaliana (Mouse-ear cress)","mean_length",462
"3-ketoacyl-CoA thiolase 2, peroxisomal (EC 2.3.1.16) (Acetyl-CoA acyltransferase 2) (Beta-ketothiolase 2) (Peroxisomal 3-oxoacyl-CoA thiolase 2) (Peroxisome defective protein 1)","PED1 KAT2 At2g33150 F25I18.11","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",48579
"3-phosphoinositide-dependent protein kinase 1 (AtPDK1) (EC 2.7.11.1)","PDPK1 PDK1 At5g04510 T32M21.110","Arabidopsis thaliana (Mouse-ear cress)","mean_length",491
"3-phosphoinositide-dependent protein kinase 1 (AtPDK1) (EC 2.7.11.1)","PDPK1 PDK1 At5g04510 T32M21.110","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",54711
"30-kDa cleavage and polyadenylation specificity factor 30 (EC 3.1.21.-) (Protein OXIDATIVE STRESS TOLERANT 6) (Zinc finger CCCH domain-containing protein 11) (AtC3H11)","CPSF30 OXT6 At1g30460 F26G16.5 F26G16.6","Arabidopsis thaliana (Mouse-ear cress)","mean_length",631
"30-kDa cleavage and polyadenylation specificity factor 30 (EC 3.1.21.-) (Protein OXIDATIVE STRESS TOLERANT 6) (Zinc finger CCCH domain-containing protein 11) (AtC3H11)","CPSF30 OXT6 At1g30460 F26G16.5 F26G16.6","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",70015
"3beta,22alpha-dihydroxysteroid 3-dehydrogenase (EC 1.14.19.79) ((22R,23R)-22,23-dihydroxy-campest-4-en-3-one synthase) ((22S,24R)-22-hydroxy-5alpha-ergostan-3-one synthase) ((22S,24R)-22-hydroxyergost-4-en-3-one synthase) (3-dehydro-6-deoxoteasterone synthase) (Cytochrome P450 90A1) (AtCYP90A1) (Protein CONSTITUTIVE PHOTOMORPHOGENESIS AND DWARFISM)","CYP90A1 CPD CYP90 At5g05690 MJJ3.9","Arabidopsis thaliana (Mouse-ear cress)","mean_length",472
"3beta,22alpha-dihydroxysteroid 3-dehydrogenase (EC 1.14.19.79) ((22R,23R)-22,23-dihydroxy-campest-4-en-3-one synthase) ((22S,24R)-22-hydroxy-5alpha-ergostan-3-one synthase) ((22S,24R)-22-hydroxyergost-4-en-3-one synthase) (3-dehydro-6-deoxoteasterone synthase) (Cytochrome P450 90A1) (AtCYP90A1) (Protein CONSTITUTIVE PHOTOMORPHOGENESIS AND DWARFISM)","CYP90A1 CPD CYP90 At5g05690 MJJ3.9","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",53785
"4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase)","HPD PDS1 At1g06570 F12K11.9","Arabidopsis thaliana (Mouse-ear cress)","mean_length",445
"4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase)","HPD PDS1 At1g06570 F12K11.9","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",48816
"40-kDa huntingtin-associated protein (HAP40) (CpG island protein) (Factor VIII intron 22 protein)","F8A1; F8A2; F8A3","Homo sapiens (Human)","mean_length",371
"40-kDa huntingtin-associated protein (HAP40) (CpG island protein) (Factor VIII intron 22 protein)","F8A1; F8A2; F8A3","Homo sapiens (Human)","mean_mass",39103
"5'-3' exoribonuclease 4 (EC 3.1.13.-) (Protein ACC INSENSITIVE 1) (Protein ETHYLENE INSENSITIVE 5) (Protein EXORIBONUCLEASE 4)","XRN4 AIN1 EIN5 At1g54490 F20D21.30","Arabidopsis thaliana (Mouse-ear cress)","mean_length",947
"5'-3' exoribonuclease 4 (EC 3.1.13.-) (Protein ACC INSENSITIVE 1) (Protein ETHYLENE INSENSITIVE 5) (Protein EXORIBONUCLEASE 4)","XRN4 AIN1 EIN5 At1g54490 F20D21.30","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",107778
"5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase)","surE XF_0858","Xylella fastidiosa (strain 9a5c)","mean_length",262
"5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase)","surE XF_0858","Xylella fastidiosa (strain 9a5c)","mean_mass",28391
"5-hydroxymethyl-dUMP N-hydrolase (EC 3.2.2.-) (2'-deoxynucleoside 5'-phosphate N-hydrolase 1) (c-Myc-responsive protein RCL)","DNPH1 C6orf108 RCL","Homo sapiens (Human)","mean_length",174
"5-hydroxymethyl-dUMP N-hydrolase (EC 3.2.2.-) (2'-deoxynucleoside 5'-phosphate N-hydrolase 1) (c-Myc-responsive protein RCL)","DNPH1 C6orf108 RCL","Homo sapiens (Human)","mean_mass",19108
"6,7-dimethyl-8-ribityllumazine synthase, chloroplastic (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)","At2g44050 F6E13.18","Arabidopsis thaliana (Mouse-ear cress)","mean_length",227
"6,7-dimethyl-8-ribityllumazine synthase, chloroplastic (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)","At2g44050 F6E13.18","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",24024
"60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (Heat shock protein family D member 1) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)","HSPD1 HSP60","Homo sapiens (Human)","mean_length",573
"60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (Heat shock protein family D member 1) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)","HSPD1 HSP60","Homo sapiens (Human)","mean_mass",61055
"7-dehydrocholesterol reductase (7-DHC reductase) (EC 1.3.1.21) (Protein DWARF 5) (Sterol Delta(7)-reductase)","DWF5 ST7R At1g50430 F11F12.21","Arabidopsis thaliana (Mouse-ear cress)","mean_length",432
"7-dehydrocholesterol reductase (7-DHC reductase) (EC 1.3.1.21) (Protein DWARF 5) (Sterol Delta(7)-reductase)","DWF5 ST7R At1g50430 F11F12.21","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",49591
"ABC transporter B family member 1 (ABC transporter ABCB.1) (AtABCB1) (Multidrug resistance protein 1) (P-glycoprotein 1) (AtPgp1)","ABCB1 MDR1 PGP1 At2g36910 T1J8.9","Arabidopsis thaliana (Mouse-ear cress)","mean_length",1286
"ABC transporter B family member 1 (ABC transporter ABCB.1) (AtABCB1) (Multidrug resistance protein 1) (P-glycoprotein 1) (AtPgp1)","ABCB1 MDR1 PGP1 At2g36910 T1J8.9","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",140573
"ABC transporter B family member 19 (ABC transporter ABCB.19) (AtABCB19) (Multidrug resistance protein 11) (P-glycoprotein 19)","ABCB19 MDR1 MDR11 PGP19 At3g28860 MLD15.2","Arabidopsis thaliana (Mouse-ear cress)","mean_length",1252
"ABC transporter B family member 19 (ABC transporter ABCB.19) (AtABCB19) (Multidrug resistance protein 11) (P-glycoprotein 19)","ABCB19 MDR1 MDR11 PGP19 At3g28860 MLD15.2","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",136788
"ABC transporter C family member 1 (ABC transporter ABCC.1) (AtABCC1) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 1) (Glutathione S-conjugate-transporting ATPase 1) (Multidrug resistance-associated protein 1)","ABCC1 EST1 MRP1 At1g30400 T4K22.12","Arabidopsis thaliana (Mouse-ear cress)","mean_length",1622
"ABC transporter C family member 1 (ABC transporter ABCC.1) (AtABCC1) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 1) (Glutathione S-conjugate-transporting ATPase 1) (Multidrug resistance-associated protein 1)","ABCC1 EST1 MRP1 At1g30400 T4K22.12","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",181927
"ABC transporter D family member 1 (ABC transporter ABCD.1) (AtABCD1) (EC 7.6.2.4) (Peroxisomal ABC transporter 1) (AtPXA1) (Protein ACETATE NON-UTILIZING 2) (Protein COMATOSE) (Protein PEROXISOME DEFECTIVE 3) (Ped3p)","ABCD1 ACN2 CTS PED3 PMP2 PXA1 At4g39850 T5J17.20","Arabidopsis thaliana (Mouse-ear cress)","mean_length",1337
"ABC transporter D family member 1 (ABC transporter ABCD.1) (AtABCD1) (EC 7.6.2.4) (Peroxisomal ABC transporter 1) (AtPXA1) (Protein ACETATE NON-UTILIZING 2) (Protein COMATOSE) (Protein PEROXISOME DEFECTIVE 3) (Ped3p)","ABCD1 ACN2 CTS PED3 PMP2 PXA1 At4g39850 T5J17.20","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",149576
"ABC transporter I family member 10 (ABC transporter ABCI.10) (AtABCI10) (Non-intrinsic ABC protein 13) (Protein EMBRYO DEFECTIVE 2751)","ABCI10 EMB2751 NAP13 At4g33460 F17M5.220","Arabidopsis thaliana (Mouse-ear cress)","mean_length",271
"ABC transporter I family member 10 (ABC transporter ABCI.10) (AtABCI10) (Non-intrinsic ABC protein 13) (Protein EMBRYO DEFECTIVE 2751)","ABCI10 EMB2751 NAP13 At4g33460 F17M5.220","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",29624
"ABSCISIC ACID-INSENSITIVE 5-like protein 5 (ABA-responsive element-binding protein 1) (Abscisic acid responsive elements-binding factor 2) (ABRE-binding factor 2) (bZIP transcription factor 36) (AtbZIP36)","ABF2 AREB1 BZIP36 At1g45249 T2P3","Arabidopsis thaliana (Mouse-ear cress)","mean_length",416
"ABSCISIC ACID-INSENSITIVE 5-like protein 5 (ABA-responsive element-binding protein 1) (Abscisic acid responsive elements-binding factor 2) (ABRE-binding factor 2) (bZIP transcription factor 36) (AtbZIP36)","ABF2 AREB1 BZIP36 At1g45249 T2P3","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",44165
"ABSCISIC ACID-INSENSITIVE 5-like protein 7 (ABA-responsive element-binding protein 2) (Abscisic acid responsive elements-binding factor 4) (ABRE-binding factor 4) (bZIP transcription factor 38) (AtbZIP38)","ABF4 AREB2 BZIP38 At3g19290 MVI11.7","Arabidopsis thaliana (Mouse-ear cress)","mean_length",431
"ABSCISIC ACID-INSENSITIVE 5-like protein 7 (ABA-responsive element-binding protein 2) (Abscisic acid responsive elements-binding factor 4) (ABRE-binding factor 4) (bZIP transcription factor 38) (AtbZIP38)","ABF4 AREB2 BZIP38 At3g19290 MVI11.7","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",46492
"ABSCISIC ACID-INSENSITIVE 5-like protein 8 (bZIP transcription factor 15) (AtbZIP15)","BZIP15 At5g42910 MBD2.11","Arabidopsis thaliana (Mouse-ear cress)","mean_length",370
"ABSCISIC ACID-INSENSITIVE 5-like protein 8 (bZIP transcription factor 15) (AtbZIP15)","BZIP15 At5g42910 MBD2.11","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",41033
